,isbn,name,author,publisher,date
0,9789570349689,螞蟻時代,"柏納・韋伯(Bernard Werber)著; 袁晶,韓佳,王姝男譯",小知堂,89/04
1,9789570349856,螞蟻革命,"柏納・韋伯(Bernard Werber)著; 武崢灝,刁卿雅譯",小知堂,89/09
2,9789868112698,心機掃描,菲利普狄克(Philip K. Dick)著; 陳怡芬譯,墨文堂文化,94/10
3,9789866562198,穿越時空的少女,筒井康隆著; 張秋明譯,獨步文化,98/05
4,9789867600318,6個人的小世界,"鄧肯.華茲(Duncan Watts)著; 傅士哲, 謝良瑜譯",大塊文化,93/02
5,9789577453495,偷嚐愛情的四月女巫,布萊伯利(Ray Bradbury)文; 張琰譯,遊目族文化,89/08
6,9789577453495,偷嚐愛情的四月女巫,布萊伯利(Ray Bradbury)文; 張琰譯,遊目族文化,89/08
7,9789862290873,水意識,瑪麗.布克納(M. M. Buckner)著; 綵憶譯,三采文化,98/06
8,9789570494044,地心遊記,儒勒・凡爾納(Jules Vernre)原著; 沙地翻譯,宏文館圖書,89/04
9,9789579184113,獻給阿爾吉儂的花束,丹尼斯・凱斯(Daniel Keyes)作; 周月玲譯,小知堂,84/05
10,9789572813690,來自繁星的巫女,席薇亞.路易絲.英達爾(Sylvia Louise Engdahl)著; 羅林譯,奇幻基地,92/01
11,9789862130209,海柏利昂,"丹.西蒙斯(Dan Simmons)著; 林翰昌, 李漢聲, 李漢威譯",大塊文化,96/11
12,9789862130667,海柏利昂,丹.西蒙斯(Dan Simmons)著; 景翔譯,大塊文化,96/11
13,9789571351483,失落的符號,丹.布朗(Dan Brown)著; 李建興譯,時報文化,99/01
14,9789571345826,大騙局,丹.布朗(Dan Brown)著; 宋瑛堂譯,時報文化,96/01
15,9789571343174,數位密碼,丹.布朗著; 宋瑛堂譯,時報文化,94/07
16,9789571344584,天使與魔鬼,丹.布朗(Dan Brown)著; 尤傳莉譯,時報文化,95/04
17,9789867399038,黑暗的左手,娥蘇拉.勒瑰恩(Ursula K. Le Guin)著; 洪凌譯,繆思,93/12
18,9789867399489,通往女人國度之門,雪莉.泰珀(Sheri S. Tepper)著; 洪凌譯,繆思,95/07
19,9789573314745,接觸未來,卡爾⋅賽耿(Carl Sagan)作; 湯新華譯,皇冠,86/10
20,9789861243979,時空旅人之妻,奧黛麗.尼芬格(Audrey Niffenegger)著; 陳雅汝譯,商周,95/05
21,9789573323273,手機,史蒂芬.金(Stephen King)作; 宋瑛堂譯,皇冠,96/06
22,9789578701083,侏羅紀公園,麥克・克萊頓著,輕舟,82/07
23,9789578701557,侏羅紀公園. 2,麥克・克萊頓(Michael Crichton)原著; 黃淑芬等譯,輕舟,85/01
24,9789862098745,潛龍諜影,RAYMOND BENSON作; 許國煌翻譯,青文,98/06
25,9789866525339,猿猴.賽伯格和女人: 重新發明自然,唐娜.哈洛威(Donna J. Haraway)著; 張君玫譯,群學,99/11
26,9789573261162,NEXT危基當前,麥可.克萊頓(Michael Crichton)著; 洪蘭譯,遠流,96/08
27,9789573255307,恐懼之邦,麥克.克萊頓(Michael Crichton)著; 洪蘭譯,遠流,94/06
28,4717702053796,error,error,error,error
29,9789575457327,玻璃珠遊戲,赫塞著; 徐進夫譯,志文,91/02
30,9789575457327,玻璃珠遊戲,赫塞著; 徐進夫譯,志文,91/02
31,9789574503414,天使帝國,柏納.韋伯著; 陳宜君譯,小知堂,93/09
32,9789574504879,幻行者,克里斯多夫.裴斯特著; 張玲茵譯,小知堂,95/06
33,9789573249443,奈米獵殺,麥克.克萊頓(Michael Crichton)著; 洪蘭譯,遠流,92/08
34,9789866665578,索拉力星,史坦尼斯勞.萊姆(Stanislaw Lem)作; 趙剛翻譯,繆思,99/06
35,9789575453435,蒼蠅王,威廉⋅高汀,志文,79/01
36,9789862876527,涼宮春日的觀測: OFFICIAL FANBOOK,Sneaker文庫編輯部編輯; 吳松諺譯,臺灣國際角川,101/05
37,9789861740485,涼宮春日的動搖,谷川流作; いとうのいぢ插畫; 王敏媜譯,臺灣國際角川,95/04
38,9789867299536,涼宮春日的煩悶,谷川流作; いとうのいぢ插畫; 陳蕙莉譯,臺灣國際角川,94/04
39,9789867189189,涼宮春日的消失,谷川流作; いとうのいぢ插畫; 王敏禎譯,臺灣國際角川,94/09
40,9789867189806,涼宮春日的暴走,谷川流作; いとうのいぢ插畫; 王敏媜譯,臺灣國際角川,94/12
41,9789861744469,涼宮春日的分裂,谷川流作; 王敏媜譯,臺灣國際角川,96/08
42,9789861742649,涼宮春日的憤慨,"谷川流作; 王敏媜, 吳松諺譯",臺灣國際角川,96/01
43,9789867299208,涼宮春日的嘆息,谷川流著; いとうのいぢ插畫; 陳蕙莉譯,臺灣國際角川,94/02
44,9789867427885,涼宮春日的憂鬱,谷川流作; いとうのいぢ插畫; 許慧貞譯,臺灣國際角川,93/12
45,9789866562709,摩登時代,伊坂幸太郎著; 李彥樺譯,獨步文化,99/10
46,9789862376027,平行戀人,靜月遠火作; 王靜怡譯,臺灣國際角川,99/04
47,9789867475909,秋葉原@DEEP,石田衣良著(ISHIDA Ira)著; 劉名揚譯,木馬文化,95/04
48,9789862376027,平行戀人,靜月遠火作; 王靜怡譯,臺灣國際角川,99/04
49,9789571032139,星之聲,大場惑作; K.K 譯,尖端,95/04
